UTM_N,UTM_E,siteID.x,individualID,taxonID.x,collectDate, plotID.x,domainID.x,utmZone
405826.1309,3288490.042,OSBS,369,NA,NA,NA,NA,17N
403340.4174,3285746.686,OSBS,370,NA,NA,NA,NA,17N
403292.6374,3285868.549,OSBS,371,NA,NA,NA,NA,17N
402595.7135,3284341.349,OSBS,374,NA,NA,NA,NA,17N
406848.3253,3283801.983,OSBS,375,NA,NA,NA,NA,17N
407801.5221,3285413.485,OSBS,377,NA,NA,NA,NA,17N
459757.9949,3646365.171,TALL,2223,NA,NA,NA,NA,16N
459756.0023,3646380.005,TALL,2144,NA,NA,NA,NA,16N
459797.7679,3646321.395,TALL,2179,NA,NA,NA,NA,16N
459819.4391,3646307.978,TALL,2162,NA,NA,NA,NA,16N
459835.3905,3646310.52,TALL,2177,NA,NA,NA,NA,16N
459843.2722,3646299.681,TALL,2163,NA,NA,NA,NA,16N
459848.9891,3646394.065,TALL,2124,NA,NA,NA,NA,16N
459850.1749,3646386.032,TALL,2133,NA,NA,NA,NA,16N
459861.7495,3646512.656,TALL,2118,NA,NA,NA,NA,16N
459936.2775,3646572.805,TALL,2256,NA,NA,NA,NA,16N
460001.4516,3646565.634,TALL,2294,NA,NA,NA,NA,16N
460030.6222,3646570.076,TALL,2251,NA,NA,NA,NA,16N
460044.0733,3646578.011,TALL,2292,NA,NA,NA,NA,16N
459764.7888,3646388.308,TALL,2175,NA,NA,NA,NA,16N
459730.1435,3646415.993,TALL,2158,NA,NA,NA,NA,16N
459833.8285,3646536.838,TALL,2102,NA,NA,NA,NA,16N
459857.6551,3646573.273,TALL,2111,NA,NA,NA,NA,16N
459850.8236,3646567.713,TALL,2105,NA,NA,NA,NA,16N
459858.4829,3646561.358,TALL,2103,NA,NA,NA,NA,16N
459870.4459,3646557.75,TALL,2159,NA,NA,NA,NA,16N
459868.2027,3646599.184,TALL,2106,NA,NA,NA,NA,16N
459869.2243,3646605.035,TALL,2107,NA,NA,NA,NA,16N
461660.2669,3647431.347,TALL,2137,NA,NA,NA,NA,16N
461669.527,3647437.25,TALL,2130,NA,NA,NA,NA,16N
461678.547,3647438.933,TALL,2136,NA,NA,NA,NA,16N
461653.4294,3647444.435,TALL,2128,NA,NA,NA,NA,16N
461710.8675,3647416.045,TALL,2127,NA,NA,NA,NA,16N
461717.8672,3647425.94,TALL,2132,NA,NA,NA,NA,16N
461703.4426,3647424.303,TALL,2236,NA,NA,NA,NA,16N
461814.4668,3647401.532,TALL,2140,NA,NA,NA,NA,16N
461785.7259,3647399.134,TALL,2153,NA,NA,NA,NA,16N
461781.9142,3647444.301,TALL,2152,NA,NA,NA,NA,16N
461774.3762,3647436.637,TALL,2151,NA,NA,NA,NA,16N
461790.6981,3647442.432,TALL,2148,NA,NA,NA,NA,16N
461722.0269,3647368.009,TALL,2131,NA,NA,NA,NA,16N
460847.1437,3643105.755,TALL,1001,NA,NA,NA,NA,16N
460839.7288,3643105.4,TALL,2207,NA,NA,NA,NA,16N
460807.257,3643103.266,TALL,2227,NA,NA,NA,NA,16N
460804.228,3643098.26,TALL,1005,NA,NA,NA,NA,16N
460820.6915,3643105.202,TALL,2229,NA,NA,NA,NA,16N
460818.276,3643098.86,TALL,2205,NA,NA,NA,NA,16N
460833.7642,3643109.772,TALL,1002,NA,NA,NA,NA,16N
460825.9027,3643112.251,TALL,1003,NA,NA,NA,NA,16N
